japanese,arabic,inference,match
一万五千, (15000), (15000), True
弐拾弐, (22), (22), True
伍千億, (500000000000), (5000000000000), False
七千三百四十, (7340), (734), False
漆百捌拾玖, (789), (789), True
百一, (101), (101), True
四十八, (48), (48), True
三万八千, (38000), (38000), True
肆百億, (40000000000), (400000000000), False
弐仟弐百, (2200), (2200), True
伍拾陸, (56), (56), True
百兆, (100000000000000), (100000000000000000), False
八万一千, (81000), (81000), True
参百, (300), (300), True
三十五, (35), (35), True
弐百参拾肆, (234), (234), True
三千五百万, (35000000), (35000000), True
九千万, (90000000), (9000000), False
兆, (1000000000000), (1000000000000000), False
五百七十万, (5700000), (570000), False
参拾肆, (34), (34), True
拾億, (1000000000), (1000000000), True
十兆, (10000000000000), (1000000000000000), False
七百八十九, (789), (789), True
壱百, (100), (100), True
壱百壱拾, (110), (110), True
一万二千, (12000), (12000), True
三百六十五, (365), (365), True
二百五十, (250), (250), True
肆, (4), (4), True
玖拾玖, (99), (99), True
億, (100000000), (100000000), True
一, (1), (1), True
捌百捌拾億, (88000000000), (880000000000), False
五万五千五百, (55500), (55500), True
参百肆拾伍, (345), (345), True
八十八, (88), (88), True
四千五百六十七, (4567), (4567), True
玖千九百億, (990000000000), (990000000000), True
伍仟陸百漆拾捌, (5678), (5678), True
百二十五万, (1250000), (1250000), True
千二百, (1200), (1200), True
拾兆, (10000000000000), (1000000000000), False
弐拾億, (2000000000), (20000000000), False
〇, (0), (0), True
九千九百九, (9909), (9909), True
十, (10), (10), True
十億, (1000000000), (100000000), False
二百四十四, (244), (242), False
六万七千, (67000), (67000), True
漆百参拾万, (7300000), (7300000), True
八千二百一, (8201), (8201), True
伍, (5), (5), True
捌千九拾万, (80900000), (80900000), True
七百八十四, (784), (784), True
玖拾, (90), (90), True
二千五百六十, (2560), (2560), True
参拾万伍仟, (305000), (305000), True
伍仟, (5000), (5000), True
二, (2), (2), True
六十六, (66), (66), True
六百七十二, (672), (672), True
壱億壱千万, (110000000), (110000000), True
玖, (9), (9), True
漆, (7), (7), True
十万, (100000), (100000), True
一億五千万, (150000000), (150000000), True
伍兆, (5000000000000), (50000000000000), False
肆百, (400), (400), True
四万二千百, (42100), (4200), False
壱千万漆千, (10007000), (100007), False
四百六十二, (462), (462), True
八百十六, (816), (816), True
捌, (8), (8), True
参, (3), (3), True
八千六百五十二, (8652), (8652), True
六, (6), (6), True
弐百伍拾億, (25000000000), (25000000000), True
百億, (10000000000), (1000000000000), False
弐億四千万, (240000000), (24000000), False
十一, (11), (11), True
七十七, (77), (77), True
漆百, (700), (70), False
百万, (1000000), (1000000), True
一千億, (100000000000), (10000000000000), False
弐仟, (2000), (2000), True
壱千億, (100000000000), (1000000000000), False
五千九百九十九, (5999), (5999), True
三兆五千億, (3500000000000), (35000000000000), False
肆百伍拾陸, (456), (456), True
一億二千万, (120000000), (120000000), True
百, (100), (100), True
九, (9), (9), True
弐拾壱, (21), (21), True
百壱拾万, (1100000), (1100000), True
拾万, (100000), (1000000), False
壱仟, (1000), (1000), True
捌拾捌, (88), (88), True
陸拾漆, (67), (67), True
一千万, (10000000), (10000000), True
四百九十八, (498), (498), True
千六百三, (1603), (1603), True
六千八百万, (68000000), (68000000), True
玖百壱拾, (910), (910), True
四, (4), (4), True
参仟, (3000), (3000), True
百三十五, (135), (135), True
九十九, (99), (99), True
伍百陸拾漆, (567), (567), True
二千二十六, (2026), (2026), True
壱仟弐百参拾肆, (1234), (1234), True
参拾伍億, (3500000000), (3500000000), True
五千五, (5005), (5005), True
六万八千九百, (68900), (68900), True
一千二百万, (12000000), (12000000), True
伍百, (500), (50), False
捌拾玖, (89), (89), True
肆万七百, (40700), (40700), True
五, (5), (5), True
佰, (100), (100), True
九百九十九万, (9990000), (999000), False
二千八百七十, (2870), (2870), True
七十二万, (720000), (720000), True
二十五万, (250000), (250000), True
九百三十三, (933), (933), True
八百万, (8000000), (8000000), True
壱拾壱, (11), (11), True
七, (7), (7), True
万, (10000), (10000), True
弐万伍千, (25000), (25000), True
弐百伍拾万, (2500000), (2500000), True
壱万弐仟, (12000), (1000), False
弐百, (200), (200), True
壱百弐拾, (120), (120), True
八, (8), (8), True
参千伍百万, (35000000), (35000000), True
伍億六千七百万, (567000000), (567000000), True
陸百漆拾捌, (678), (678), True
拾万弐千, (102000), (10000), False
肆百八十万, (4800000), (4800000), True
陸拾陸, (66), (66), True
漆拾捌, (78), (78), True
三百五十万, (3500000), (3500000), True
参仟参百, (3300), (3300), True
壱億, (100000000), (100000000), True
壱, (1), (1), True
九十万九千, (909000), (909000), True
三億, (300000000), (300000000000), False
九万九千九百, (99900), (99900), True
参千二百億, (320000000000), (3200000000000), False
五百億, (50000000000), (500000000000), False
八千八百八十八, (8888), (8888), True
五百一, (501), (501), True
肆拾伍, (45), (45), True
二十二, (22), (22), True
弐兆伍千億, (2500000000000), (2500000000000), True
捌百, (800), (800), True
壱仟壱百, (1100), (1100), True
伍拾伍, (55), (55), True
九百五十一, (951), (951), True
