japanese,arabic,inference,match
一, (1), (1), True
十, (10), (10), True
百, (100), (100), True
千, (1000), (1000), True
万, (10000), (1000), False
十万, (100000), (100000), True
百万, (1000000), (100000), False
一億, (100000000), (10000), False
一兆, (1000000000000), (10000), False
〇, (0), (0), True
壱, (1), (1), True
弐, (2), (2), True
参, (3), (10), False
拾, (10), (10), True
廿, (20), (20), True
一つ, (1), (1), True
二つ, (2), (2), True
三つ, (3), (3), True
四つ, (4), (4), True
五つ, (5), (5), True
六つ, (6), (6), True
七つ, (7), (7), True
八つ, (8), (8), True
九つ, (9), (9), True
十, (10), (10), True
第一, (1), (1), True
二番目, (2), (2), True
一日, (1), (1), True
二日, (2), (2), True
三日, (3), (3), True
十四日, (14), (14), True
二十日, (20), (20), True
一昨日, (-2), (-2), True
明後日, (2), (2), True
一昨年, (-2), (-2), True
四半世紀, (25), (25), True
一回忌, (1), (1), True
一割, (0.1), (100), False
一分, (0.01), (0.1), False
一厘, (0.001), (0.01), False
五分五分, (0.5), (5), False
半分, (0.5), (2), False
四半, (0.25), (25), False
八分目, (0.8), (8), False
単身, (1), (1), True
コンビ・対, (2), (3), False
唯一無二, (1), (1), True
四六時中, (24), (6), False
三羽ガラス, (3), (3), True
八百万, (8000000), (80000), False
