japanese,pds,inference,match
一万五千, ( 1e4 5e3 ), ( 1e4 5e3 ), True
弐拾弐, ( 2e1 2e0 ), ( 2e1 2e0 ), True
伍千億, ( 5e11 ), ( 5e11 ), True
七千三百四十, ( 7e3 3e2 4e1 ), ( 7e3 3e2 4e1 4e0 ), False
漆百捌拾玖, ( 7e2 8e1 9e0 ), ( 7e2 8e1 9e0 ), True
百一, ( 1e2 1e0 ), ( 1e2 1e0 ), True
四十八, ( 4e1 8e0 ), ( 4e1 8e0 ), True
三万八千, ( 3e4 8e3 ), ( 3e4 8e3 ), True
肆百億, ( 4e10 ), ( 4e12 ), False
弐仟弐百, ( 2e3 2e2 ), ( 2e3 2e2 ), True
伍拾陸, ( 5e1 6e0 ), ( 5e1 6e0 ), True
百兆, ( 1e14 ), ( 1e16 ), False
八万一千, ( 8e4 1e3 ), ( 8e4 1e3 ), True
参百, ( 3e2 ), ( 1e2 ), False
三十五, ( 3e1 5e0 ), ( 3e1 5e0 ), True
弐百参拾肆, ( 2e2 3e1 4e0 ), ( 2e1 3e0 4e1 5e0 ), False
三千五百万, ( 3e7 5e6 ), ( 3e7 5e6 ), True
九千万, ( 9e7 ), ( 9e7 ), True
兆, ( 1e12 ), ( 1e12 ), True
五百七十万, ( 5e6 7e5 ), ( 5e6 7e5 ), True
参拾肆, ( 3e1 4e0 ), ( 3e1 4e0 ), True
拾億, ( 1e9 ), ( 1e8 ), False
十兆, ( 1e13 ), ( 1e11 ), False
七百八十九, ( 7e2 8e1 9e0 ), ( 7e2 8e1 9e0 ), True
壱百, ( 1e2 ), ( 1e2 ), True
壱百壱拾, ( 1e2 1e1 ), ( 1e2 1e1 ), True
一万二千, ( 1e4 2e3 ), ( 1e4 2e3 ), True
三百六十五, ( 3e2 6e1 5e0 ), ( 3e2 6e1 5e0 ), True
二百五十, ( 2e2 5e1 ), ( 2e2 5e1 ), True
肆, ( 4e0 ), ( 4e0 ), True
玖拾玖, ( 9e1 9e0 ), ( 9e1 9e0 ), True
億, ( 1e8 ), ( 1e8 ), True
一, ( 1e0 ), ( 1e0 ), True
捌百捌拾億, ( 8e10 8e9 ), ( 8e10 8e9 ), True
五万五千五百, ( 5e4 5e3 5e2 ), ( 5e4 5e3 5e2 ), True
参百肆拾伍, ( 3e2 4e1 5e0 ), ( 3e1 4e0 ), False
八十八, ( 8e1 8e0 ), ( 8e1 8e0 ), True
四千五百六十七, ( 4e3 5e2 6e1 7e0 ), ( 4e3 5e2 6e1 7e0 ), True
玖千九百億, ( 9e11 9e10 ), ( 9e11 9e10 ), True
伍仟陸百漆拾捌, ( 5e3 6e2 7e1 8e0 ), ( 5e3 7e2 8e1 9e0 ), False
百二十五万, ( 1e6 2e5 5e4 ), ( 1e5 5e6 ), False
千二百, ( 1e3 2e2 ), ( 1e3 2e2 ), True
拾兆, ( 1e13 ), ( 1e14 ), False
弐拾億, ( 2e9 ), ( 2e10 ), False
〇, ( ), ( ), True
九千九百九, ( 9e3 9e2 9e0 ), ( 9e3 9e2 9e0 ), True
十, ( 1e1 ), ( 1e1 ), True
十億, ( 1e9 ), ( 1e10 ), False
二百四十四, ( 2e2 4e1 4e0 ), ( 2e2 4e1 4e0 ), True
六万七千, ( 6e4 7e3 ), ( 6e4 7e3 ), True
漆百参拾万, ( 7e6 3e5 ), ( 7e6 1e5 ), False
八千二百一, ( 8e3 2e2 1e0 ), ( 8e3 2e2 1e0 ), True
伍, ( 5e0 ), ( 5e0 ), True
捌千九拾万, ( 8e7 9e5 ), ( 8e7 9e5 ), True
七百八十四, ( 7e2 8e1 4e0 ), ( 7e2 8e1 4e0 ), True
玖拾, ( 9e1 ), ( 9e1 ), True
二千五百六十, ( 2e3 5e2 6e1 ), ( 2e3 5e2 6e1 ), True
参拾万伍仟, ( 3e5 5e3 ), ( 3e5 5e3 ), True
伍仟, ( 5e3 ), ( 5e3 ), True
二, ( 2e0 ), ( 2e0 ), True
六十六, ( 6e1 6e0 ), ( 6e1 6e0 ), True
六百七十二, ( 6e2 7e1 2e0 ), ( 6e2 7e1 2e0 ), True
壱億壱千万, ( 1e8 1e7 ), ( 1e8 1e7 ), True
玖, ( 9e0 ), ( 9e0 ), True
漆, ( 7e0 ), ( 7e0 ), True
十万, ( 1e5 ), ( 1e4 ), False
一億五千万, ( 1e8 5e7 ), ( 1e8 5e7 ), True
伍兆, ( 5e12 ), ( 5e11 ), False
肆百, ( 4e2 ), ( 4e2 ), True
四万二千百, ( 4e4 2e3 1e2 ), ( 4e4 2e3 1e2 ), True
壱千万漆千, ( 1e7 7e3 ), ( 1e7 7e3 ), True
四百六十二, ( 4e2 6e1 2e0 ), ( 4e2 6e1 2e0 ), True
八百十六, ( 8e2 1e1 6e0 ), ( 8e2 1e1 6e0 ), True
捌, ( 8e0 ), ( 8e0 ), True
参, ( 3e0 ), ( 3e0 ), True
八千六百五十二, ( 8e3 6e2 5e1 2e0 ), ( 8e6 5e5 2e4 6e2 5e0 ), False
六, ( 6e0 ), ( 6e0 ), True
弐百伍拾億, ( 2e10 5e9 ), ( 2e8 5e7 ), False
百億, ( 1e10 ), ( 1e11 ), False
弐億四千万, ( 2e8 4e7 ), ( 2e8 4e7 ), True
十一, ( 1e1 1e0 ), ( 1e1 1e0 ), True
七十七, ( 7e1 7e0 ), ( 7e1 7e0 ), True
漆百, ( 7e2 ), ( 7e1 7e0 ), False
百万, ( 1e6 ), ( 1e6 ), True
一千億, ( 1e11 ), ( 1e11 ), True
弐仟, ( 2e3 ), ( 2e3 ), True
壱千億, ( 1e11 ), ( 1e11 ), True
五千九百九十九, ( 5e3 9e2 9e1 9e0 ), ( 5e3 9e2 9e1 9e0 ), True
三兆五千億, ( 3e12 5e11 ), ( 3e11 5e10 ), False
肆百伍拾陸, ( 4e2 5e1 6e0 ), ( 4e2 5e1 6e0 ), True
一億二千万, ( 1e8 2e7 ), ( 1e8 2e7 ), True
百, ( 1e2 ), ( 1e2 ), True
九, ( 9e0 ), ( 9e0 ), True
弐拾壱, ( 2e1 1e0 ), ( 2e1 1e0 ), True
百壱拾万, ( 1e6 1e5 ), ( 1e5 1e4 ), False
拾万, ( 1e5 ), ( 1e4 ), False
壱仟, ( 1e3 ), ( 1e3 ), True
捌拾捌, ( 8e1 8e0 ), ( 8e1 8e0 ), True
陸拾漆, ( 6e1 7e0 ), ( 6e1 7e0 ), True
一千万, ( 1e7 ), ( 1e7 ), True
四百九十八, ( 4e2 9e1 8e0 ), ( 4e2 9e1 8e0 ), True
千六百三, ( 1e3 6e2 3e0 ), ( 1e3 3e2 ), False
六千八百万, ( 6e7 8e6 ), ( 6e7 8e6 ), True
玖百壱拾, ( 9e2 1e1 ), ( 9e2 1e1 ), True
四, ( 4e0 ), ( 4e0 ), True
参仟, ( 3e3 ), ( 3e3 ), True
百三十五, ( 1e2 3e1 5e0 ), ( 1e2 3e5 5e4 ), False
九十九, ( 9e1 9e0 ), ( 9e1 9e0 ), True
伍百陸拾漆, ( 5e2 6e1 7e0 ), ( 5e2 6e1 7e0 ), True
二千二十六, ( 2e3 2e1 6e0 ), ( 2e3 2e1 6e0 ), True
壱仟弐百参拾肆, ( 1e3 2e2 3e1 4e0 ), ( 1e3 3e2 4e1 5e0 ), False
参拾伍億, ( 3e9 5e8 ), ( 3e9 5e8 ), True
五千五, ( 5e3 5e0 ), ( 5e3 5e2 5e0 ), False
