japanese,pds,inference,match
一万五千, _ 1 05 5 04 _, _ 1 08 5 06 _, False
弐拾弐, _ 2 02 2 01 _, _ 2 02 2 01 _, True
伍千億, _ 5 012 _, _ 5 010 _, False
七千三百四十, _ 7 04 3 03 4 02 _, _ 7 03 3 02 4 01 _, False
漆百捌拾玖, _ 7 03 8 02 9 01 _, _ 7 02 8 01 _, False
百一, _ 1 03 1 01 _, _ 1 04 1 03 _, False
四十八, _ 4 02 8 01 _, _ 4 02 8 01 _, True
三万八千, _ 3 05 8 04 _, _ 3 05 8 03 _, False
肆百億, _ 4 011 _, _ 4 012 _, False
弐仟弐百, _ 2 04 2 03 _, _ 2 03 2 02 _, False
伍拾陸, _ 5 02 6 01 _, _ 5 02 6 01 _, True
百兆, _ 1 015 _, _ 1 014 _, False
八万一千, _ 8 05 1 04 _, _ 8 04 1 03 _, False
参百, _ 3 03 _, _ 3 03 _, True
三十五, _ 3 02 5 01 _, _ 3 02 5 01 _, True
弐百参拾肆, _ 2 03 3 02 4 01 _, _ 2 02 3 01 4 00 _, False
三千五百万, _ 3 08 5 07 _, _ 3 08 5 07 _, True
九千万, _ 9 08 _, _ 9 07 _, False
兆, _ 1 013 _, _ 1 013 _, True
五百七十万, _ 5 07 7 06 _, _ 5 08 7 07 _, False
参拾肆, _ 3 02 4 01 _, _ 3 02 4 01 _, True
拾億, _ 1 010 _, _ 1 09 _, False
十兆, _ 1 014 _, _ 1 013 _, False
七百八十九, _ 7 03 8 02 9 01 _, _ 7 03 8 02 9 01 _, True
壱百, _ 1 03 _, _ 1 04 _, False
壱百壱拾, _ 1 03 1 02 _, _ 1 05 1 04 _, False
一万二千, _ 1 05 2 04 _, _ 1 06 2 04 _, False
三百六十五, _ 3 03 6 02 5 01 _, _ 3 03 6 02 5 01 _, True
二百五十, _ 2 03 5 02 _, _ 2 03 5 02 _, True
肆, _ 4 01 _, _ 4 01 _, True
玖拾玖, _ 9 02 9 01 _, _ 9 02 9 01 _, True
億, _ 1 09 _, _ 1 09 _, True
一, _ 1 01 _, _ 1 01 _, True
捌百捌拾億, _ 8 011 8 010 _, _ 8 08 8 07 _, False
五万五千五百, _ 5 05 5 04 5 03 _, _ 5 05 5 04 5 03 _, True
参百肆拾伍, _ 3 03 4 02 5 01 _, _ 3 02 4 01 5 00 _, False
八十八, _ 8 02 8 01 _, _ 8 02 8 01 _, True
四千五百六十七, _ 4 04 5 03 6 02 7 01 _, _ 4 04 5 03 6 02 7 01 _, True
玖千九百億, _ 9 012 9 011 _, _ 9 012 9 011 _, True
伍仟陸百漆拾捌, _ 5 04 6 03 7 02 8 01 _, _ 5 03 6 02 7 01 _, False
百二十五万, _ 1 07 2 06 5 05 _, _ 1 07 2 06 2 05 _, False
千二百, _ 1 04 2 03 _, _ 1 032 _, False
拾兆, _ 1 014 _, _ 1 013 _, False
弐拾億, _ 2 010 _, _ 2 012 _, False
〇, _ _, _ 〇, False
九千九百九, _ 9 04 9 03 9 01 _, _ 9 04 9 03 9 02 9 01 _, False
十, _ 1 02 _, _ 1 014 _, False
十億, _ 1 010 _, _ 1 09 _, False
二百四十四, _ 2 03 4 02 4 01 _, _ 2 04 4 03 4 02 4 01 _, False
六万七千, _ 6 05 7 04 _, _ 6 06 7 04 _, False
漆百参拾万, _ 7 07 3 06 _, _ 7 07 3 06 _, True
八千二百一, _ 8 04 2 03 1 01 _, _ 8 04 2 03 1 02 1 01 _, False
伍, _ 5 01 _, _ 5 01, False
捌千九拾万, _ 8 08 9 06 _, _ 8 07 9 06 _, False
七百八十四, _ 7 03 8 02 4 01 _, _ 7 03 8 02 4 01 _, True
玖拾, _ 9 02 _, _ 9 01 _, False
二千五百六十, _ 2 04 5 03 6 02 _, _ 2 05 5 04 6 03 _, False
